matcher,ntypes,max_len,lambda,wall,cpu,inferences
match_list,basic,22,10,0.4055171012878418,0.40625,4566063
match_list,basic,30,10,0.5664510726928711,0.546875,6345667
match_list,basic,30,10,0.5876419544219971,0.5625,6345667
match_list,basic,30,10,0.5742838382720947,0.578125,6345667
match_list,basic,30,10,0.5875251293182373,0.578125,6345667
match_list,basic,30,10,0.5765769481658936,0.5625,6345667
match_list,basic,40,10,0.8158881664276123,0.8125,8577777
match_list,basic,40,10,0.8176009654998779,0.8125,8577777
match_list,basic,40,10,0.817054033279419,0.796875,8577777
match_list,basic,40,10,0.8298318386077881,0.828125,8577777
match_list,basic,40,10,0.8722720146179199,0.859375,8577777
match_list,basic,50,10,1.1705131530761719,1.140625,10782821
match_list,basic,50,10,1.1316208839416504,1.125,10782821
match_list,basic,50,10,1.0904510021209717,1.078125,10782821
match_list,basic,50,10,1.117842197418213,1.0625,10782821
match_list,basic,50,10,1.1082179546356201,1.109375,10782821
match_list,basic,32,15,0.6437258720397949,0.640625,6956617
match_list,basic,32,15,0.6343982219696045,0.625,6956617
match_list,basic,32,15,0.6166830062866211,0.625,6956617
match_list,basic,32,15,0.6325690746307373,0.609375,6956617
match_list,basic,32,15,0.6629900932312012,0.65625,6956617
match_list,basic,40,15,0.8655250072479248,0.8437499999999929,8742099
match_list,basic,40,15,0.8279309272766113,0.828125,8742099
match_list,basic,40,15,0.8219010829925537,0.828125,8742099
match_list,basic,40,15,0.8168439865112305,0.796875,8742099
match_list,basic,40,15,0.8311319351196289,0.796875,8742099
match_list,basic,50,15,1.1029889583587646,1.109375,10947143
match_list,basic,50,15,1.105294942855835,1.109375,10947143
match_list,basic,50,15,1.1426970958709717,1.140625,10947143
match_list,basic,50,15,1.105154037475586,1.09375,10947143
match_list,basic,50,15,1.0715749263763428,1.0625,10947143
match_list,basic,42,20,0.8616030216217041,0.859375,9275702
match_list,basic,42,20,0.9244141578674316,0.921875,9275702
match_list,basic,42,20,0.8835759162902832,0.875,9275702
match_list,basic,42,20,0.8525559902191162,0.84375,9275702
match_list,basic,42,20,0.8753700256347656,0.875,9275702
match_list,basic,50,20,1.063364028930664,1.046875,11036192
match_list,basic,50,20,1.102599859237671,1.09375,11036192
match_list,basic,50,20,1.1053659915924072,1.09375,11036192
match_list,basic,50,20,1.087618112564087,1.0937500000000142,11036192
match_list,basic,50,20,1.082859992980957,1.078125,11036192
match_list,basic,60,20,1.3666889667510986,1.328125,13176792
match_list,basic,60,20,1.372987985610962,1.375,13176792
match_list,basic,60,20,1.3639020919799805,1.328125,13176792
match_list,basic,60,20,1.3543579578399658,1.34375,13176792
match_list,basic,60,20,1.3648998737335205,1.375,13176792
match_list,basic,52,25,1.1092581748962402,1.109375,11494055
match_list,basic,52,25,1.1047308444976807,1.078125,11494055
match_list,basic,52,25,1.1635751724243164,1.140625,11494055
match_list,basic,52,25,1.1112821102142334,1.109375,11494055
match_list,basic,52,25,1.1079621315002441,1.109375,11494055
match_list,basic,60,25,1.3116178512573242,1.296875,13199719
match_list,basic,60,25,1.3547289371490479,1.359375,13199719
match_list,basic,60,25,1.3311941623687744,1.328125,13199719
match_list,basic,60,25,1.3437879085540771,1.34375,13199719
match_list,basic,60,25,1.3704640865325928,1.296875,13199719
match_list,basic,62,30,1.3488330841064453,1.328125,13599397
match_list,basic,62,30,1.389754056930542,1.390625,13599397
match_list,basic,62,30,1.3575079441070557,1.359375,13599397
match_list,basic,62,30,1.3699560165405273,1.375,13599397
match_list,basic,62,30,1.3413081169128418,1.328125,13599397
match_list_ns,basic,3,1,0.01582789421081543,0.015625,66825
match_list_ns,basic,3,1,0.013962030410766602,0.015625,66713
match_list_ns,basic,3,1,0.007977962493896484,0.0,66713
match_list_ns,basic,3,1,0.010010004043579102,0.015625,66713
match_list_ns,basic,3,1,0.01296687126159668,0.015625,66713
match_list_ns,basic,5,1,0.07077312469482422,0.015625,186413
match_list_ns,basic,5,1,0.054852962493896484,0.015625,186413
match_list_ns,basic,5,1,0.02094292640686035,0.03125,186413
